Code_postal,TAU2017,ZE2010,RP,RS,MAISON,RP_PROP,RP_LOC,MED,PIMP,D1,D9,PIMPOT,TP60,PPAT,TP60TOL1,TP60TOL2,PBEN,NBPERSMENFISC
94150,10,1118,0.9395061728395062,0.01646090534979424,0.41975308641975306,0.6148148148148148,0.3045267489711934,28288.1,81.0,15727.0,49329.6,21.3,5.0,8.0,6.5,30.4,2.8,5648.5
97234,7,201,0.8091977937346366,0.01578768247842061,0.4720179705717432,0.32726218940127877,0.43796311476652294,16926.7,38.0,8093.0,35845.7,13.4,30.0,5.4,17.0,38.0,4.7,76310.5
14120,8,2502,0.9174697702786988,0.006379148191018498,0.5266506365166803,0.424709860427839,0.4813884083101821,19439.3,53.0,11671.3,30048.0,13.4,13.0,5.9,5.0,21.0,2.0,9595.0
18330,4,2403,0.7331534691009792,0.15308159707953248,0.9630611675095405,0.5631592407579534,0.1408029745822291,20441.075,46.8,10051.6,30507.0,14.0,18.0,8.6,8.6,39.8,4.2,752.25
20114,0,9402,0.5587467362924282,0.38903394255874674,0.7467362924281984,0.30983463881636203,0.20887728459530025,17019.4,49.5,9096.5,34305.5,17.8,22.8,15.2,15.2,33.0,9.7,1324.0
20276,0,9404,0.33707601240251783,0.6580851263741453,0.9469604434839823,0.27447618152776454,0.02889222963450153,18755.0,46.6,9354.3,34792.0,16.7,21.3,10.1,10.1,32.7,8.7,102037.5
23430,8,7403,0.5039029668448972,0.33188494022971343,0.9660272158900065,0.41550200527569603,0.06727082325740401,17486.500000000004,44.7,10043.0,30671.5,13.5,18.6,9.7,9.7,32.7,7.6,260.6
27210,4,2303,0.7605337982274016,0.18040006337201747,0.9330411876735406,0.6189209350244864,0.1298489217672408,21080.00555555556,50.55000000000001,11165.916666666666,32963.77777777778,14.599999999999998,14.0,8.755555555555555,8.7,28.061111111111117,5.177777777777779,817.5833333333334
29300,8,5315,0.8840164368810167,0.04541355453773137,0.9052711944959096,0.6924146797028402,0.17824841279756917,20503.442857142858,54.057142857142864,12475.628571428573,32430.214285714286,14.914285714285715,10.685714285714287,8.671428571428573,9.171428571428573,26.17142857142857,5.314285714285714,3364.6428571428573
30132,8,9106,0.9351775717974897,0.013078209198751337,0.8863110402126483,0.7106230461655639,0.20977310665655105,22330.0,61.0,12587.3,35496.0,17.1,9.0,12.1,10.3,20.0,4.3,4282.5
31810,9,61,0.9134264074460589,0.023188227424138425,0.9195333055742155,0.7126089028125543,0.18353649343568357,24849.5,63.0,13202.0,37611.65,16.9,9.0,10.2,,,4.55,1966.5
33420,9,7204,0.8559663900342005,0.04330938090768425,0.9476290072880046,0.6647059206102033,0.16284175052283242,20440.48333333333,57.0,11396.0,37698.69999999999,17.5,12.699999999999996,9.699999999999998,9.699999999999998,23.5,6.0,69885.52777777778
34150,9,9111,0.7335856023282443,0.1813094960895999,0.8646324463942938,0.5014490019228489,0.2000837119350301,19221.300000000003,47.01111111111111,10006.811111111112,33719.177777777775,15.5,18.455555555555556,10.177777777777779,10.511111111111113,31.733333333333334,6.522222222222222,7787.222222222223
34530,0,9107,0.7643233178688733,0.10696254846305078,0.8777486152039473,0.5618207147276402,0.18108546111698212,18068.9,40.8,9106.45,30903.15,14.15,24.75,10.75,15.9,38.7,6.25,2412.75
